iter	Passed	Remaining
402	9782	14490
403	9800	14458
404	9822	14430
405	9845	14404
406	9865	14374
407	9886	14345
408	9913	14324
409	9934	14296
410	9956	14268
411	9979	14242
412	10000	14213
413	10022	14186
414	10044	14158
415	10072	14140
416	10096	14115
417	10120	14091
418	10143	14065
419	10168	14041
420	10191	14016
421	10214	13990
422	10237	13964
423	10261	13939
424	10286	13917
425	10306	13886
426	10325	13856
427	10347	13829
428	10369	13801
429	10388	13770
430	10408	13740
431	10430	13714
432	10448	13682
433	10469	13653
434	10488	13622
435	10509	13594
436	10527	13563
437	10547	13533
438	10569	13506
439	10592	13480
440	10615	13455
441	10645	13438
442	10665	13410
443	10687	13383
444	10709	13356
445	10728	13326
446	10749	13298
447	10775	13276
448	10797	13250
449	10816	13219
450	10838	13193
451	10973	13304
452	11012	13297
453	11041	13279
454	11069	13259
455	11101	13243
456	11135	13230
457	11169	13218
458	11209	13212
459	11236	13190
460	11259	13164
461	11278	13133
462	11300	13106
463	11320	13077
464	11343	13050
465	11366	13024
466	11386	12995
467	11406	12966
468	11424	12935
469	11447	12909
470	11467	12879
471	11488	12851
472	11512	12826
473	11533	12798
474	11555	12771
475	11574	12741
476	11594	12712
477	11621	12691
478	11642	12663
479	11662	12634
480	11682	12605
481	11701	12575
482	11718	12543
483	11740	12517
484	11764	12491
485	11784	12463
486	11804	12434
487	11824	12405
488	11845	12377
489	11865	12349
490	11887	12323
491	11909	12296
492	11929	12268
493	11951	12241
494	11973	12215
495	11993	12187
496	12021	12166
497	12041	12138
498	12060	12109
499	12080	12080
500	12101	12053
501	12123	12027
502	12147	12002
503	12168	11975
504	12190	11949
505	12210	11921
506	12231	11893
507	12250	11864
508	12271	11837
509	12293	11811
510	12314	11783
511	12335	11757
512	12354	11728
513	12372	11698
514	12393	11671
515	12418	11648
516	12442	11624
517	12464	11598
518	12485	11570
519	12505	11543
520	12525	11515
521	12552	11494
522	12574	11468
523	12596	11442
524	12618	11417
525	12639	11389
526	12659	11362
527	12678	11333
528	12699	11306
529	12719	11279
530	12741	11254
531	12764	11228
532	12789	11206
533	12812	11181
534	12834	11155
535	12862	11134
536	12884	11108
537	12906	11083
538	12928	11057
539	12950	11031
540	12974	11007
541	12996	10982
542	13018	10956
543	13038	10928
544	13059	10903
545	13079	10875
546	13098	10847
547	13118	10820
548	13139	10794
549	13158	10766
550	13178	10738
551	13203	10715
552	13223	10689
553	13244	10662
554	13265	10636
555	13285	10609
556	13306	10583
557	13328	10557
558	13351	10533
559	13371	10506
560	13393	10480
561	13415	10455
562	13436	10429
563	13458	10403
564	13480	10378
565	13503	10354
566	13524	10328
567	13544	10301
568	13670	10354
569	13703	10337
570	13732	10317
571	13775	10307
572	13811	10292
573	13849	10278
574	13881	10260
575	13907	10237
576	13932	10213
577	13954	10187
578	13976	10162
579	13999	10137
580	14026	10115
581	14047	10089
582	14070	10063
583	14094	10040
584	14115	10013
585	14139	9989
586	14165	9966
587	14187	9941
588	14212	9917
589	14235	9892
590	14260	9868
591	14282	9843
592	14305	9818
593	14326	9792
594	14350	9767
595	14375	9744
596	14397	9719
597	14423	9696
598	14444	9670
599	14467	9644
600	14488	9618
601	14511	9594
602	14531	9567
603	14560	9545
604	14580	9519
605	14603	9494
606	14626	9470
607	14650	9445
608	14671	9419
609	14691	9392
610	14716	9369
611	14737	9343
612	14755	9315
613	14775	9289
614	14794	9261
615	14816	9236
616	14834	9208
617	14855	9182
618	14873	9154
619	14890	9126
620	14910	9100
621	14928	9072
622	14953	9048
623	14973	9022
624	14996	8997
625	15017	8971
626	15039	8946
627	15058	8919
628	15080	8894
629	15101	8868
630	15125	8845
631	15148	8820
632	15171	8796
633	15194	8771
634	15217	8747
635	15237	8720
636	15258	8695
637	15278	8669
638	15298	8642
639	15323	8619
640	15392	8620
641	15508	8647
642	15532	8623
643	15552	8597
644	15576	8572
645	15605	8551
646	15629	8527
647	15660	8506
648	15687	8484
649	15710	8459
650	15732	8434
651	15754	8408
652	15774	8382
653	15797	8357
654	15819	8332
655	15842	8307
656	15865	8282
657	15889	8258
658	15911	8233
659	15943	8213
660	15970	8190
661	15993	8165
662	16014	8140
663	16036	8114
664	16063	8092
665	16086	8067
666	16105	8040
667	16128	8015
668	16151	7991
669	16173	7966
670	16193	7939
671	16218	7916
672	16239	7890
673	16260	7864
674	16283	7840
675	16306	7815
676	16328	7790
677	16349	7764
678	16369	7738
679	16391	7713
680	16414	7688
681	16435	7663
682	16460	7640
683	16483	7615
684	16504	7589
685	16525	7564
686	16547	7539
687	16570	7514
688	16593	7489
689	16615	7464
690	16636	7439
691	16657	7414
692	16679	7389
693	16700	7363
694	16722	7338
695	16746	7314
696	16767	7289
697	16791	7265
698	16812	7239
699	16832	7214
700	16854	7189
701	16897	7172
702	16937	7155
703	16978	7138
704	17077	7145
705	17108	7124
706	17134	7101
707	17163	7078
708	17186	7053
709	17212	7030
710	17243	7008
711	17279	6989
712	17309	6967
713	17345	6947
714	17369	6923
715	17400	6901
716	17424	6877
717	17447	6852
718	17474	6829
719	17500	6805
720	17527	6782
721	17561	6761
722	17582	6736
723	17608	6712
724	17632	6688
725	17658	6664
726	17686	6641
727	17709	6616
728	17735	6593
729	17756	6567
730	17779	6542
731	17809	6520
732	17832	6495
733	17858	6471
734	17878	6446
735	17903	6421
736	17928	6397
737	17950	6372
738	17973	6347
739	17994	6322
740	18020	6298
741	18041	6273
742	18066	6249
743	18090	6224
744	18113	6199
745	18180	6190
746	18210	6167
747	18238	6144
748	18260	6119
749	18282	6094
750	18304	6069
751	18330	6045
752	18354	6020
753	18377	5995
754	18401	5971
755	18422	5945
756	18441	5919
757	18464	5894
758	18488	5870
759	18509	5845
760	18529	5819
761	18549	5793
762	18568	5767
763	18592	5743
764	18614	5718
765	18638	5693
766	18660	5668
767	18683	5643
768	18707	5619
769	18728	5594
770	18751	5569
771	18779	5546
772	18805	5522
773	18829	5498
774	18856	5474
775	18878	5449
776	18908	5426
777	18931	5401
778	18951	5376
779	18974	5351
780	18993	5326
781	19015	5301
782	19040	5276
783	19061	5251
784	19086	5227
785	19108	5202
786	19129	5177
787	19149	5151
788	19172	5127
789	19192	5101
790	19211	5076
791	19230	5050
792	19256	5026
793	19279	5001
794	19304	4977
795	19326	4953
796	19348	4928
797	19372	4903
798	19395	4879
799	19419	4854
800	19443	4830
801	19471	4807
802	19498	4783
803	19546	4765
804	19578	4742
805	19643	4728
806	19687	4708
807	19730	4688
808	19769	4667
809	19808	4646
810	19838	4623
811	19861	4598
812	19884	4573
813	19907	4548
814	19930	4524
815	19951	4498
816	19975	4474
817	19998	4449
818	20021	4424
819	20044	4400
820	20067	4375
821	20095	4351
822	20116	4326
823	20140	4301
824	20162	4276
825	20183	4251
826	20206	4227
827	20228	4202
828	20248	4176
829	20277	4153
830	20295	4127
831	20316	4102
832	20339	4077
833	20360	4052
834	20380	4027
835	20402	4002
836	20425	3977
837	20445	3952
838	20468	3927
839	20494	3903
840	20520	3879
841	20545	3855
842	20571	3831
843	20594	3806
844	20615	3781
845	20641	3757
846	20663	3732
847	20685	3707
848	20706	3682
849	20726	3657
850	20749	3632
851	20769	3607
852	20790	3582
853	20813	3558
854	20833	3533
855	20855	3508
856	20876	3483
857	20905	3459
858	20930	3435
859	20952	3410
860	20977	3386
861	20995	3361
862	21018	3336
863	21048	3313
864	21073	3288
865	21097	3264
866	21122	3240
867	21144	3215
868	21168	3191
869	21188	3166
870	21213	3141
871	21240	3117
872	21259	3092
873	21287	3068
874	21312	3044
875	21336	3020
876	21360	2995
877	21382	2971
878	21404	2946
879	21427	2921
880	21453	2897
881	21477	2873
882	21501	2849
883	21527	2824
884	21559	2801
885	21584	2777
886	21605	2752
887	21629	2728
888	21669	2705
889	21693	2681
890	21715	2656
891	21738	2632
892	21761	2607
893	21781	2582
894	21801	2557
895	21827	2533
896	21852	2509
897	21878	2485
898	21906	2461
899	21931	2436
900	21953	2412
901	21971	2387
902	21996	2362
903	22020	2338
904	22044	2314
905	22067	2289
906	22093	2265
907	22115	2240
908	22135	2216
909	22158	2191
910	22178	2166
911	22197	2141
912	22216	2116
913	22252	2093
914	22274	2069
915	22294	2044
916	22314	2019
917	22335	1995
918	22363	1971
919	22394	1947
920	22439	1924
921	22466	1900
922	22499	1876
923	22530	1853
924	22563	1829
925	22589	1805
926	22626	1781
927	22714	1762
928	22777	1740
929	22824	1717
930	22853	1693
931	22874	1668
932	22902	1644
933	22929	1620
934	22951	1595
935	22972	1570
936	22996	1546
937	23025	1521
938	23046	1497
939	23067	1472
940	23089	1447
941	23125	1423
942	23179	1401
943	23240	1378
944	23309	1356
945	23355	1333
946	23409	1310
947	23450	1286
948	23508	1263
949	23584	1241
950	23680	1220
951	23844	1202
952	23920	1179
953	23978	1156
954	24004	1131
955	24030	1105
956	24051	1080
957	24073	1055
958	24098	1030
959	24117	1004
960	24140	979
961	24160	954
962	24180	929
963	24200	903
964	24220	878
965	24240	853
966	24260	827
967	24284	802
968	24303	777
969	24321	752
970	24342	727
971	24363	701
972	24382	676
973	24401	651
974	24420	626
975	24440	600
976	24485	576
977	24533	551
978	24582	527
979	24621	502
980	24661	477
981	24687	452
982	24723	427
983	24756	402
984	24789	377
985	24814	352
986	24850	327
987	24879	302
988	24905	277
989	24937	251
990	24971	226
991	25001	201
992	25033	176
993	25059	151
994	25107	126
995	25132	100
996	25163	75
997	25190	50
998	25212	25
999	25233	0
